language_id,form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,source,page,paradigm_tag,tense_tag,morphanalysis_tag,overabundance_tag,phonanalysis_tag,variants_tag,order_tag
hyow,hyow325,bin,2.sg.3.du.fut.neg,ní-bîn-hnɔ́ʔ-tî,níΣhnɔ́ʔtî,n i ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,ní+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow326,bop,2.sg.3.du.fut.neg,nó-bóp-hnɔ́ʔ-tî,nóΣhnɔ́ʔtî,n o ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nó+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow327,hak,2.sg.3.du.fut.neg,ná-hák-hnɔ́ʔ-tî,náΣhnɔ́ʔtî,n a ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,ná+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow328,hnek,2.sg.3.du.fut.neg,né-hnék-hnɔ́ʔ-tî,néΣhnɔ́ʔtî,n e ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,né+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow329,kɘt,2.sg.3.du.fut.neg,nɘ́-kɘ́t-hnɔ́ʔ-tî,nɘ́Σhnɔ́ʔtî,n ɘ ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nɘ́+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow330,lum,2.sg.3.du.fut.neg,nʉ́-lʉ̂m-hnɔ́ʔ-tî,nʉ́Σhnɔ́ʔtî,n ʉ ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nʉ́+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow331,lɔ,2.sg.3.du.fut.neg,nɔ́-lɔ̀-hnɔ́ʔ-tî,nɔ́Σhnɔ́ʔtî,n ɔ ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nɔ́+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow332,shun,2.sg.3.du.fut.neg,nú-shún-hnɔ́ʔ-tî,núΣhnɔ́ʔtî,n u ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nú+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow333,bae,2.sg.3.pl.fut.neg,nǽ-bæ̂-hnɔ́ʔ-tî,nǽΣhnɔ́ʔtî,n æ ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nǽ+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow334,bin,2.sg.3.pl.fut.neg,ní-bîn-hnɔ́ʔ-tî,níΣhnɔ́ʔtî,n i ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,ní+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow335,bop,2.sg.3.pl.fut.neg,nó-bóp-hnɔ́ʔ-tî,nóΣhnɔ́ʔtî,n o ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nó+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow336,hak,2.sg.3.pl.fut.neg,ná-hák-hnɔ́ʔ-tî,náΣhnɔ́ʔtî,n a ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,ná+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow337,hnek,2.sg.3.pl.fut.neg,né-hnék-hnɔ́ʔ-tî,néΣhnɔ́ʔtî,n e ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,né+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow338,kɘt,2.sg.3.pl.fut.neg,nɘ́-kɘ́t-hnɔ́ʔ-tî,nɘ́Σhnɔ́ʔtî,n ɘ ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nɘ́+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow339,lum,2.sg.3.pl.fut.neg,nʉ́-lʉ̂m-hnɔ́ʔ-tî,nʉ́Σhnɔ́ʔtî,n ʉ ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nʉ́+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow340,lɔ,2.sg.3.pl.fut.neg,nɔ́-lɔ̀-hnɔ́ʔ-tî,nɔ́Σhnɔ́ʔtî,n ɔ ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nɔ́+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow341,shun,2.sg.3.pl.fut.neg,nú-shún-hnɔ́ʔ-tî,núΣhnɔ́ʔtî,n u ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,nú+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,NA,NA,NA,NA,copy_v,NA,NA
hyow,hyow342,bop,2.du.3.sg.fut.neg,ní-hníʔ-bóp-hnɔ́ʔ-hníʔ-tî,níhníʔΣhnɔ́ʔhníʔtî,n i ⁵ n̥ i ⁵ ʔ Σ n̥ ɔ ⁵ ʔ n̥ i ⁵ ʔ t i ⁵¹,ní+hníʔ+Σ+hnɔ́ʔ+hníʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow343,bop,2.du.3.du.fut.neg,ní-hníʔ-bóp-hnɔ́ʔ-hníʔ-tî,níhníʔΣhnɔ́ʔhníʔtî,n i ⁵ n̥ i ⁵ ʔ Σ n̥ ɔ ⁵ ʔ n̥ i ⁵ ʔ t i ⁵¹,ní+hníʔ+Σ+hnɔ́ʔ+hníʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
