cell_id,POS,TA,POL,A_Person,A_Number,A_Clusivity,O_Person,O_Number,O_Clusivity,Label
3.du.1.pl.excl.fut.aff,verb,fut,aff,3,du,NA,1,pl,excl,3DU>1PL.EXCL.FUT.AFF
3.du.1.pl.excl.fut.neg,verb,fut,neg,3,du,NA,1,pl,excl,3DU>1PL.EXCL.FUT.NEG
3.du.1.pl.excl.nfut.aff,verb,nfut,aff,3,du,NA,1,pl,excl,3DU>1PL.EXCL.NFUT.AFF
3.du.1.pl.excl.nfut.neg,verb,nfut,neg,3,du,NA,1,pl,excl,3DU>1PL.EXCL.NFUT.NEG
3.du.1.pl.incl.fut.aff,verb,fut,aff,3,du,NA,1,pl,incl,3DU>1PL.INCL.FUT.AFF
3.du.1.pl.incl.fut.neg,verb,fut,neg,3,du,NA,1,pl,incl,3DU>1PL.INCL.FUT.NEG
3.du.1.pl.incl.nfut.aff,verb,nfut,aff,3,du,NA,1,pl,incl,3DU>1PL.INCL.NFUT.AFF
3.du.1.pl.incl.nfut.neg,verb,nfut,neg,3,du,NA,1,pl,incl,3DU>1PL.INCL.NFUT.NEG
3.du.1.sg.fut.aff,verb,fut,aff,3,du,NA,1,sg,NA,3DU>1SG.FUT.AFF
3.du.1.sg.fut.neg,verb,fut,neg,3,du,NA,1,sg,NA,3DU>1SG.FUT.NEG
3.du.1.sg.nfut.aff,verb,nfut,aff,3,du,NA,1,sg,NA,3DU>1SG.NFUT.AFF
3.du.1.sg.nfut.neg,verb,nfut,neg,3,du,NA,1,sg,NA,3DU>1SG.NFUT.NEG
3.du.2.du.fut.aff,verb,fut,aff,3,du,NA,2,du,NA,3DU>2DU.FUT.AFF
3.du.2.du.fut.neg,verb,fut,neg,3,du,NA,2,du,NA,3DU>2DU.FUT.NEG
3.du.2.du.nfut.neg,verb,nfut,neg,3,du,NA,2,du,NA,3DU>2DU.NFUT.NEG
3.du.2.pl.fut.aff,verb,fut,aff,3,du,NA,2,pl,NA,3DU>2PL.FUT.AFF
3.du.2.pl.fut.neg,verb,fut,neg,3,du,NA,2,pl,NA,3DU>2PL.FUT.NEG
3.du.2.pl.nfut.aff,verb,nfut,aff,3,du,NA,2,pl,NA,3DU>2PL.NFUT.AFF
3.du.2.pl.nfut.neg,verb,nfut,neg,3,du,NA,2,pl,NA,3DU>2PL.NFUT.NEG
3.du.2.sg.fut.aff,verb,fut,aff,3,du,NA,2,sg,NA,3DU>2SG.FUT.AFF
3.du.2.sg.fut.neg,verb,fut,neg,3,du,NA,2,sg,NA,3DU>2SG.FUT.NEG
3.du.2.sg.nfut.aff,verb,nfut,aff,3,du,NA,2,sg,NA,3DU>2SG.NFUT.AFF
3.du.2.sg.nfut.neg,verb,nfut,neg,3,du,NA,2,sg,NA,3DU>2SG.NFUT.NEG
3.du.3.du.fut.aff,verb,fut,aff,3,du,NA,3,du,NA,3DU>3DU.FUT.AFF
3.du.3.du.fut.neg,verb,fut,neg,3,du,NA,3,du,NA,3DU>3DU.FUT.NEG
3.du.3.du.nfut.aff,verb,nfut,aff,3,du,NA,3,du,NA,3DU>3DU.NFUT.AFF
3.du.3.du.nfut.neg,verb,nfut,neg,3,du,NA,3,du,NA,3DU>3DU.NFUT.NEG
3.du.3.pl.fut.aff,verb,fut,aff,3,du,NA,3,pl,NA,3DU>3PL.FUT.AFF
3.du.3.pl.fut.neg,verb,fut,neg,3,du,NA,3,pl,NA,3DU>3PL.FUT.NEG
3.du.3.pl.nfut.aff,verb,nfut,aff,3,du,NA,3,pl,NA,3DU>3PL.NFUT.AFF
3.du.3.pl.nfut.neg,verb,nfut,neg,3,du,NA,3,pl,NA,3DU>3PL.NFUT.NEG
3.du.3.sg.fut.aff,verb,fut,aff,3,du,NA,3,sg,NA,3DU>3SG.FUT.AFF
3.du.3.sg.fut.neg,verb,fut,neg,3,du,NA,3,sg,NA,3DU>3SG.FUT.NEG
3.du.3.sg.nfut.aff,verb,nfut,aff,3,du,NA,3,sg,NA,3DU>3SG.NFUT.AFF
3.du.3.sg.nfut.neg,verb,nfut,neg,3,du,NA,3,sg,NA,3DU>3SG.NFUT.NEG
3.du.fut.aff,verb,fut,aff,3,du,NA,NA,NA,NA,3DU.FUT.AFF
3.du.fut.neg,verb,fut,neg,3,du,NA,NA,NA,NA,3DU.FUT.NEG
3.du.nfut.aff,verb,nfut,aff,3,du,NA,NA,NA,NA,3DU.NFUT.AFF
3.du.nfut.neg,verb,nfut,neg,3,du,NA,NA,NA,NA,3DU.NFUT.NEG
3.pl.1.du.excl.fut.aff,verb,fut,aff,3,pl,NA,1,du,excl,3PL>1DU.EXCL.FUT.AFF
3.pl.1.du.excl.fut.neg,verb,fut,neg,3,pl,NA,1,du,excl,3PL>1DU.EXCL.FUT.NEG
3.pl.1.du.excl.nfut.aff,verb,nfut,aff,3,pl,NA,1,du,excl,3PL>1DU.EXCL.NFUT.AFF
3.pl.1.du.excl.nfut.neg,verb,nfut,neg,3,pl,NA,1,du,excl,3PL>1DU.EXCL.NFUT.NEG
